campaign_id,product_type,campaign_type,location,audience_size,budget,ad_text,hashtags,image_brightness,image_colorfulness,cta_strength,expected_engagement_rate,actual_leads,currency
FAS01251,Fashion,Traffic,Chennai,10860337,851,Discover amazing fashion deals! Join Today now!,#Discount #Launch #BestChoice #Promo,0.4457855388267104,0.6805763597849714,0.7372275189615929,1.0,560,INR
TEC01223,Technology,Engagement,Thanjavur,205393,763,Discover amazing technology deals! Download App now!,#InstaAd #NewProduct #LimitedOffer #Ad,0.5678030369328552,0.8686286704624995,0.8580622204817753,1.0,1148,INR
FIN01380,Finance,Brand Awareness,Thanjavur,354625,785,Discover amazing finance deals! Get Offer now!,#LimitedOffer #Sale,0.8008999516257922,0.9233391912500888,0.7981148450749704,1.0,1031,INR
FOO01547,Food,Leads,Kanniyakumari,86941,318,Discover amazing food deals! Shop Now now!,#InstaAd #Sale #Ad #NewProduct,0.6124442349156118,0.5413927743378802,0.7641455580670027,1.0,330,INR
FAS01035,Fashion,Conversions,Dindigul,175934,520,Discover amazing fashion deals! Learn More now!,#NewProduct #Discount #Marketing #Viral,0.6172292202320843,1.0,0.7424932257268271,1.0,431,INR
EDU01862,Education,Engagement,Nagercoil,254458,801,Discover amazing education deals! Join Today now!,#BrandDeal #InstaAd,0.6342620613445147,1.0,0.6298316145417506,1.0,766,INR
BEA01263,Beauty,Traffic,Nagercoil,292958,1520,Discover amazing beauty deals! Sign Up now!,#Sale #Trending #Launch,0.61481951812195,0.587729298417466,0.5056995239879395,1.0,1191,INR
AUT01567,Automobile,Engagement,Kanniyakumari,155745,1577,Discover amazing automobile deals! Sign Up now!,#Promo #Discount #Viral #NewProduct,0.7476499176279764,0.5812003012007746,1.0,1.0,1802,INR
FAS01039,Fashion,Brand Awareness,Tirupur,414323,223,Discover amazing fashion deals! Sign Up now!,#Trending #InstaAd #NewProduct,0.6771883486035809,0.940927014515165,0.9128385661501276,1.0,188,INR
TEC02069,Technology,Conversions,Tirupur,294456,674,Discover amazing technology deals! Try Free now!,#Ad #LimitedOffer #BestChoice,0.5639670392318533,0.6295548791321711,0.8711296786901022,1.0,701,INR
FIT01965,Fitness,Engagement,Kanniyakumari,133413,729,Discover amazing fitness deals! Learn More now!,#Launch #BestChoice,0.6583356981848738,1.0,0.4854874673398688,1.0,537,INR
BEA01510,Beauty,Leads,Tirupur,387872,260,Discover amazing beauty deals! Get Offer now!,#Viral #Launch #Trending,0.8937280136886736,0.8793592721810594,0.6620081264900997,1.0,199,INR
BEA02054,Beauty,Brand Awareness,Madurai,804462,804,Discover amazing beauty deals! Learn More now!,#BestChoice #Viral #Ad,0.7402364375449865,0.6596737919562821,1.0,1.0,628,INR
FIT02223,Fitness,Engagement,Nagercoil,301245,1269,Discover amazing fitness deals! Learn More now!,#Trending #LimitedOffer,0.8275072865658828,0.7820530017032213,0.8538467618891786,1.0,1357,INR
EDU01784,Education,Engagement,Thoothukudi,270390,114,Discover amazing education deals! Try Free now!,#BestChoice #LimitedOffer #InstaAd,0.4024832410511756,0.9599962554432232,0.749408197626768,1.0,85,INR
TEC02243,Technology,Engagement,Tiruchirappalli,583401,1759,Discover amazing technology deals! Learn More now!,#Sale #Viral #Trending #BestChoice,0.4891648470109732,0.7912400681995376,0.5581311602885453,1.0,1839,INR
EDU01627,Education,Brand Awareness,Erode,453490,1260,Discover amazing education deals! Try Free now!,#BrandDeal #Launch,0.3222435909588089,0.6811311013910483,0.4509631442318574,1.0,1408,INR
FIT01532,Fitness,Brand Awareness,Madurai,1067376,589,Discover amazing fitness deals! Shop Now now!,#Ad #Marketing,0.5930907718096305,0.5756683227880663,0.6537075858229594,1.0,404,INR
EDU01438,Education,Conversions,Salem,547940,878,Discover amazing education deals! Shop Now now!,#BestChoice #Ad #Discount #Trending,0.6515489046779372,0.8308461363124158,0.6956460560081127,1.0,843,INR
FIT01539,Fitness,Traffic,Madurai,865340,887,Discover amazing fitness deals! Download App now!,#BrandDeal #BestChoice #LimitedOffer,0.5531701543796217,0.7328797959106463,0.4358106387408439,1.0,813,INR
AUT01905,Automobile,Leads,Thoothukudi,416464,1755,Discover amazing automobile deals! Try Free now!,#Discount #BestChoice #Trending #LimitedOffer,0.7292365638177661,0.4110240644307907,0.9240370389969532,1.0,1819,INR
FIT01045,Fitness,Conversions,Salem,518441,1628,Discover amazing fitness deals! Learn More now!,#Viral #Discount #Launch,0.6868540265758845,0.4145438222195742,0.5146417002413302,1.0,1179,INR
FIT01092,Fitness,Traffic,Erode,482107,562,Discover amazing fitness deals! Shop Now now!,#Viral #InstaAd #BestChoice #Sale,0.579539592578394,0.9637415703484892,0.8130835590026797,1.0,524,INR
FAS02188,Fashion,Brand Awareness,Thoothukudi,325911,1179,Discover amazing fashion deals! Shop Now now!,#Trending #Promo,0.5927472474783992,0.6089372912741585,0.969373487588955,1.0,763,INR
EDU01466,Education,Traffic,Coimbatore,1223777,1759,Discover amazing education deals! Join Today now!,#Ad #NewProduct,0.6138659993802226,0.7923959104393836,0.7803838295180104,1.0,1401,INR
FOO02077,Food,Leads,Tiruchirappalli,735621,1417,Discover amazing food deals! Join Today now!,#Ad #BrandDeal #Promo,0.6589803198003505,0.843753879102304,0.6667220931587948,1.0,997,INR
FAS01107,Fashion,Conversions,Erode,476532,392,Discover amazing fashion deals! Try Free now!,#Marketing #Promo #LimitedOffer #Viral,0.4630201641327582,0.6435638841949501,0.916329225505095,1.0,246,INR
BEA01065,Beauty,Conversions,Nagercoil,105569,199,Discover amazing beauty deals! Learn More now!,#Sale #NewProduct #LimitedOffer,0.6290380492598547,0.4119954884299638,0.6869785595884706,1.0,93,INR
EDU01687,Education,Leads,Tirupur,269836,1816,Discover amazing education deals! Download App now!,#LimitedOffer #Promo,0.5843076690817782,0.5392819934916209,0.6446103858050102,1.0,1752,INR
FIT01253,Fitness,Leads,Coimbatore,1628861,1196,Discover amazing fitness deals! Try Free now!,#Trending #InstaAd #Viral #Discount,0.4875487332038453,0.8913159862035425,0.6312811401771904,1.0,1143,INR
AUT02003,Automobile,Traffic,Dindigul,317658,440,Discover amazing automobile deals! Shop Now now!,#Discount #Trending #BestChoice,0.6966003358666529,1.0,0.4853753631091754,1.0,615,INR
FOO02231,Food,Engagement,Erode,458090,1878,Discover amazing food deals! Join Today now!,#Trending #BestChoice,0.3288790557079744,0.5408880787934016,0.1190959132273652,1.0,750,INR
FIT01376,Fitness,Traffic,Dindigul,293087,880,Discover amazing fitness deals! Get Offer now!,#BrandDeal #Marketing,0.5523181620329083,0.8597835216438472,0.2489733999881331,1.0,709,INR
FOO01323,Food,Traffic,Salem,345002,1801,Discover amazing food deals! Download App now!,#NewProduct #Marketing #BestChoice #Trending,0.5515823301273826,0.6074457579145618,1.0,1.0,1762,INR
FAS01799,Fashion,Conversions,Coimbatore,1771954,251,Discover amazing fashion deals! Join Today now!,#Promo #Launch #Trending #BrandDeal,0.7345509649033601,0.7981646903753293,0.5171493744491588,1.0,137,INR
FIT02070,Fitness,Engagement,Tiruchirappalli,537326,597,Discover amazing fitness deals! Download App now!,#BestChoice #BrandDeal,0.7773428207624898,0.4605598128279653,0.4916800611443634,1.0,552,INR
FIT01394,Fitness,Leads,Nagercoil,248216,198,Discover amazing fitness deals! Get Offer now!,#Launch #Sale #BestChoice,0.7430569863749297,0.4282975607249669,0.8004706711813218,1.0,204,INR
FIT01427,Fitness,Leads,Kanniyakumari,104214,885,Discover amazing fitness deals! Download App now!,#Ad #Marketing #Trending,0.6314705134932834,1.0,0.8924787636005883,1.0,1123,INR
EDU01678,Education,Leads,Nagercoil,336726,547,Discover amazing education deals! Join Today now!,#Trending #InstaAd #Discount #Promo,0.5319985261694076,0.5350884236678722,0.7935157215580907,1.0,738,INR
FAS01971,Fashion,Engagement,Thoothukudi,411791,1090,Discover amazing fashion deals! Join Today now!,#Discount #LimitedOffer #BestChoice,0.6392427651819301,0.775074924889601,0.3877073450882773,1.0,750,INR
FIN01437,Finance,Traffic,Nagercoil,302846,513,Discover amazing finance deals! Try Free now!,#NewProduct #Sale #BestChoice,0.6766686203451132,0.6973763198845494,0.6427704660777432,1.0,414,INR
EDU02075,Education,Conversions,Kanchipuram,337162,1339,Discover amazing education deals! Learn More now!,#Sale #Discount,0.7449414632764004,0.7580243486069248,0.7748475248028928,1.0,1289,INR
BEA01770,Beauty,Brand Awareness,Vellore,442709,952,Discover amazing beauty deals! Try Free now!,#LimitedOffer #Launch,0.4237553146275689,0.8433719962860259,0.6655663435754678,1.0,609,INR
AUT01304,Automobile,Brand Awareness,Kanniyakumari,102415,287,Discover amazing automobile deals! Get Offer now!,#Launch #Marketing #BrandDeal,0.7983935531661647,0.9056051109467452,0.6125811355081203,1.0,372,INR
FAS01952,Fashion,Engagement,Madurai,524071,1498,Discover amazing fashion deals! Try Free now!,#Launch #NewProduct #Promo #Viral,0.5318216389472374,0.7400001331663322,0.7942567082575819,1.0,908,INR
FOO01359,Food,Conversions,Tirupur,258243,744,Discover amazing food deals! Sign Up now!,#Trending #Viral #BrandDeal #Ad,0.6727815948588198,0.407195336057963,0.2156268608117534,1.0,552,INR
TEC01107,Technology,Brand Awareness,Chennai,9028455,591,Discover amazing technology deals! Join Today now!,#Marketing #Discount,0.6242174465543573,0.855960307844287,0.2743235885001311,1.0,333,INR
FOO01861,Food,Traffic,Tiruchirappalli,787971,502,Discover amazing food deals! Join Today now!,#NewProduct #LimitedOffer,0.556964467832291,0.6917027715402609,0.5289914310583651,1.0,325,INR
FIT01645,Fitness,Traffic,Coimbatore,1172312,105,Discover amazing fitness deals! Learn More now!,#Viral #Marketing #InstaAd,0.4992399585469652,0.3363100324849002,1.0,1.0,113,INR
FIT01805,Fitness,Traffic,Vellore,557218,453,Discover amazing fitness deals! Shop Now now!,#Sale #NewProduct #Viral,0.735227477142245,0.5481455700791016,0.3646990767744186,1.0,302,INR
FIT01506,Fitness,Brand Awareness,Tiruchirappalli,614879,1090,Discover amazing fitness deals! Join Today now!,#Launch #Ad #Marketing #NewProduct,0.7867789932796339,0.7548303289259684,0.2595790098272205,1.0,884,INR
AUT01251,Automobile,Leads,Coimbatore,1426650,1764,Discover amazing automobile deals! Get Offer now!,#Marketing #Viral,0.4288682271923089,0.4887639003794893,0.4943924963315349,1.0,1978,INR
EDU01270,Education,Traffic,Tirupur,269724,51,Discover amazing education deals! Shop Now now!,#Discount #BestChoice #Promo #InstaAd,0.4521409042511977,0.6062051747501096,0.8274792313537275,1.0,50,INR
FIN02188,Finance,Traffic,Tirunelveli,228732,1333,Discover amazing finance deals! Try Free now!,#Sale #Viral #BrandDeal,0.528486843395043,0.8861067215858611,0.9187490599697076,1.0,2264,INR
EDU01442,Education,Traffic,Tirunelveli,321465,680,Discover amazing education deals! Shop Now now!,#Ad #NewProduct #Trending #LimitedOffer,0.7268297994905921,0.9038073866000182,0.8216313697379775,1.0,871,INR
AUT01488,Automobile,Brand Awareness,Dindigul,292386,1879,Discover amazing automobile deals! Get Offer now!,#Launch #BestChoice #NewProduct #Trending,0.1785864425682835,0.5989093047232256,0.4745001396840257,1.0,1676,INR
FAS02056,Fashion,Conversions,Tiruchirappalli,817170,1637,Discover amazing fashion deals! Get Offer now!,#Discount #LimitedOffer #Promo #Ad,0.4406639523985073,0.6728253903272408,0.773289306330742,1.0,1518,INR
FIT01654,Fitness,Conversions,Tirunelveli,257108,237,Discover amazing fitness deals! Try Free now!,#LimitedOffer #Launch #Sale #BrandDeal,0.552754977871501,0.9168261485146773,0.5187303385281996,1.0,219,INR
TEC01037,Technology,Traffic,Kanchipuram,311195,178,Discover amazing technology deals! Download App now!,#InstaAd #Promo,0.4461723184904627,1.0,0.9267189020682396,1.0,266,INR
AUT01439,Automobile,Engagement,Kanniyakumari,183081,1723,Discover amazing automobile deals! Sign Up now!,#BrandDeal #BestChoice,0.6821142004219918,0.6865678362569961,0.4907151669350302,1.0,1826,INR
EDU01325,Education,Engagement,Coimbatore,2085244,1526,Discover amazing education deals! Sign Up now!,#Marketing #LimitedOffer #Promo #Trending,0.7322069435661274,0.5244565594207217,0.4830358305639162,1.0,792,INR
EDU01039,Education,Traffic,Dindigul,173061,1344,Discover amazing education deals! Shop Now now!,#Marketing #Trending #Discount #Promo,0.6592806146575162,0.6259482409773002,0.9993856717493992,1.0,1414,INR
FIN01981,Finance,Brand Awareness,Nagercoil,179252,273,Discover amazing finance deals! Download App now!,#Trending #InstaAd #LimitedOffer,0.4797063309647194,0.3249313312217454,0.7368560949347859,1.0,229,INR
FAS01764,Fashion,Leads,Coimbatore,1130560,966,Discover amazing fashion deals! Learn More now!,#Viral #Marketing,0.6600962457509755,0.5423847492192657,0.8140889932831741,1.0,445,INR
FOO01019,Food,Engagement,Dindigul,254680,51,Discover amazing food deals! Get Offer now!,#Viral #BestChoice,0.6516230009355123,0.616019106363444,0.9390567934573,1.0,57,INR
TEC02153,Technology,Engagement,Tirupur,347979,575,Discover amazing technology deals! Sign Up now!,#Trending #BestChoice #Sale,0.6216436822540661,0.8066583042681553,0.981657904318128,1.0,766,INR
EDU01593,Education,Engagement,Tiruchirappalli,549849,1251,Discover amazing education deals! Sign Up now!,#Viral #Launch #BrandDeal,0.7493189197646534,0.8038047247220603,1.0,1.0,1522,INR
FIN01593,Finance,Leads,Tirupur,424301,1002,Discover amazing finance deals! Try Free now!,#Trending #BrandDeal #Viral,0.4524093721457369,0.5303969947168251,0.6408361040187083,1.0,1254,INR
BEA01915,Beauty,Conversions,Kanniyakumari,131745,1985,Discover amazing beauty deals! Sign Up now!,#NewProduct #Launch #BestChoice,0.9011655031635076,0.7283305559484142,0.4844725900384962,1.0,1333,INR
BEA01612,Beauty,Engagement,Kanniyakumari,188464,1036,Discover amazing beauty deals! Join Today now!,#Viral #BrandDeal #Discount #Launch,0.326476089742562,0.4499142909918811,0.655898236592918,1.0,639,INR
EDU01350,Education,Leads,Vellore,391865,1081,Discover amazing education deals! Sign Up now!,#Marketing #Discount #Sale #Trending,0.2831935684700353,0.9251630422830848,0.5119015067785542,1.0,1300,INR
AUT01373,Automobile,Leads,Tirupur,312428,1693,Discover amazing automobile deals! Sign Up now!,#BestChoice #BrandDeal #NewProduct #Marketing,0.4247960426424833,0.6844374912366495,0.3097417157534145,1.0,1626,INR
BEA02090,Beauty,Engagement,Thoothukudi,412890,170,Discover amazing beauty deals! Shop Now now!,#Launch #Ad #Sale #LimitedOffer,0.6810149481533447,0.564613310213887,0.8199863700492326,1.0,114,INR
FOO01527,Food,Brand Awareness,Nagercoil,123624,585,Discover amazing food deals! Get Offer now!,#BestChoice #Trending #NewProduct #Marketing,0.4584713430358992,0.4613375093554808,0.9353566993961412,1.0,590,INR
FIN01493,Finance,Brand Awareness,Erode,223321,167,Discover amazing finance deals! Get Offer now!,#Ad #Viral,0.7274375529567552,0.6188311680403203,0.4969860292602406,1.0,248,INR
TEC01253,Technology,Brand Awareness,Tirupur,341560,775,Discover amazing technology deals! Join Today now!,#BrandDeal #Launch #LimitedOffer #Viral,0.755428448262372,0.5898493637894496,0.6037422945508597,1.0,683,INR
FAS02123,Fashion,Conversions,Vellore,584718,936,Discover amazing fashion deals! Sign Up now!,#Viral #Discount #Trending #Sale,0.5644653763942794,0.5333396494915669,0.9263040822669012,1.0,616,INR
EDU02209,Education,Engagement,Salem,698456,855,Discover amazing education deals! Shop Now now!,#BrandDeal #Trending #Promo #LimitedOffer,0.8175954630606234,0.6754286981465325,0.8091499148156787,1.0,833,INR
TEC01299,Technology,Engagement,Kanchipuram,374293,1816,Discover amazing technology deals! Try Free now!,#Trending #InstaAd #BestChoice,0.5224676472447799,0.597741844650201,0.7103617300348964,1.0,1513,INR
EDU01140,Education,Leads,Coimbatore,1927982,1907,Discover amazing education deals! Join Today now!,#Marketing #BrandDeal,0.2911837863837306,0.3605434037146088,1.0,1.0,1928,INR
FAS01765,Fashion,Leads,Kanniyakumari,135645,470,Discover amazing fashion deals! Get Offer now!,#Promo #LimitedOffer #InstaAd,0.3645688880504913,0.5911172029865055,0.7188540982435494,1.0,306,INR
BEA02094,Beauty,Engagement,Salem,712478,304,Discover amazing beauty deals! Join Today now!,#Sale #LimitedOffer,0.4570267769664154,0.5066166500772469,0.8594331112372728,1.0,250,INR
TEC01321,Technology,Brand Awareness,Vellore,483868,1020,Discover amazing technology deals! Get Offer now!,#LimitedOffer #BrandDeal #Ad #BestChoice,0.675197210545546,0.664291943448309,0.5028201242101297,1.0,732,INR
FIN01966,Finance,Traffic,Dindigul,285504,275,Discover amazing finance deals! Shop Now now!,#NewProduct #Discount #Sale,0.5495427542607492,0.66197187456125,0.6691412532735965,1.0,244,INR
TEC01466,Technology,Engagement,Erode,295257,423,Discover amazing technology deals! Join Today now!,#NewProduct #BrandDeal,0.5611654085954184,0.9633225838855723,0.3417871331849808,1.0,376,INR
EDU01452,Education,Brand Awareness,Nagercoil,164291,1441,Discover amazing education deals! Learn More now!,#BrandDeal #Sale #BestChoice,0.6819746098765144,0.8071724085712162,1.0,1.0,1459,INR
FOO01970,Food,Conversions,Nagercoil,310176,1221,Discover amazing food deals! Learn More now!,#InstaAd #Launch #Sale #Promo,0.5399876290091775,0.8951014078201124,0.5017911921634706,1.0,714,INR
FIT01850,Fitness,Leads,Nagercoil,290471,187,Discover amazing fitness deals! Sign Up now!,#Promo #Trending #Viral #Ad,0.6319869250655329,0.6715059717664295,1.0,1.0,211,INR
TEC01945,Technology,Engagement,Kanchipuram,418803,1160,Discover amazing technology deals! Get Offer now!,#BrandDeal #InstaAd #Promo,0.5701624453278437,0.6800564250352092,0.8995278863600898,1.0,1225,INR
FIT01899,Fitness,Engagement,Erode,311317,1012,Discover amazing fitness deals! Download App now!,#NewProduct #Promo #Ad #Launch,0.6423907751130996,0.6099810458812237,0.8996018123215448,1.0,878,INR
TEC01331,Technology,Leads,Kanchipuram,339789,1518,Discover amazing technology deals! Join Today now!,#LimitedOffer #Promo #BrandDeal #Discount,0.5983344144589837,0.6658956051849046,0.6524014233360473,1.0,1560,INR
AUT01399,Automobile,Engagement,Kanniyakumari,108699,442,Discover amazing automobile deals! Try Free now!,#NewProduct #BestChoice #BrandDeal,0.5696815465922058,0.980490560375922,0.3404732568421255,1.0,403,INR
FAS02224,Fashion,Traffic,Kanchipuram,273686,759,Discover amazing fashion deals! Try Free now!,#Trending #Marketing #Sale #Viral,0.7372980535160036,0.8190208153506704,0.8386537088632366,1.0,425,INR
FIN01042,Finance,Brand Awareness,Chennai,8067661,169,Discover amazing finance deals! Sign Up now!,#Launch #Marketing,0.6171735898748366,0.9335970392987116,1.0,1.0,312,INR
FIT01622,Fitness,Conversions,Erode,244247,629,Discover amazing fitness deals! Get Offer now!,#Launch #LimitedOffer #InstaAd,0.5952260307841964,0.7167514524307959,0.7298994856286627,1.0,418,INR
FAS01510,Fashion,Traffic,Thoothukudi,445121,284,Discover amazing fashion deals! Try Free now!,#Launch #Discount #InstaAd,0.7241561997351399,0.8938461175223948,0.6302790906317075,1.0,246,INR
FOO01794,Food,Leads,Erode,347820,627,Discover amazing food deals! Shop Now now!,#Viral #InstaAd,0.5433653132877015,0.8265807302396586,0.7767114982146501,1.0,423,INR
EDU01681,Education,Traffic,Vellore,566765,299,Discover amazing education deals! Get Offer now!,#BestChoice #Marketing #Sale #Launch,0.5274893076147189,0.7474113836135117,0.9106060020517804,1.0,395,INR
AUT01667,Automobile,Brand Awareness,Chennai,9194682,882,Discover amazing automobile deals! Sign Up now!,#Launch #Discount #Sale #Promo,0.5991825023281365,0.5405449439895611,0.568857204171669,1.0,875,INR
FAS01096,Fashion,Traffic,Nagercoil,342999,1999,Discover amazing fashion deals! Try Free now!,#Promo #Trending,0.6453598266357337,0.5429293714975894,0.9253686574869464,1.0,1663,INR
FIN01431,Finance,Leads,Vellore,558930,721,Discover amazing finance deals! Get Offer now!,#BestChoice #BrandDeal,0.5867651567311992,0.298249823441876,0.6310595909250252,1.0,693,INR
BEA01262,Beauty,Conversions,Vellore,436194,1058,Discover amazing beauty deals! Learn More now!,#BrandDeal #Marketing #Launch,0.8548591128595451,0.7205290205947544,0.915305853774961,1.0,788,INR
AUT01041,Automobile,Traffic,Kanniyakumari,98030,1692,Discover amazing automobile deals! Try Free now!,#InstaAd #LimitedOffer #Sale #Discount,0.5364080890990863,0.9245846979908312,0.6121353451646653,1.0,1965,INR
FAS01119,Fashion,Engagement,Thanjavur,232838,1888,Discover amazing fashion deals! Sign Up now!,#Ad #Trending #Discount #NewProduct,0.7422762305575005,0.7069705752783532,0.5291015499587691,1.0,1636,INR
